TYPE; FULLCODE; STATE; COUNTY; TRACT; SHEETS,COUNTY_NAME,,,,
TRACT;06007000800;06;007;8.00;1,BUTTE,,,,
TRACT;06007000901;06;007;9.01;1,BUTTE,,,,
TRACT;06007000903;06;007;9.03;1,BUTTE,,,,
TRACT;06007000904;06;007;9.04;1,BUTTE,,,,
TRACT;06007001000;06;007;10.00;1,BUTTE,,,,
TRACT;06007001100;06;007;11.00;1,BUTTE,,,,
TRACT;06007001200;06;007;12.00;1,BUTTE,,,,
TRACT;06007001300;06;007;13.00;1,BUTTE,,,,
TRACT;06007001400;06;007;14.00;1,BUTTE,,,,
TRACT;06007001500;06;007;15.00;1,BUTTE,,,,
TRACT;06007001601;06;007;16.01;1,BUTTE,,,,
